,Province_State,Country_Region,Lat,Long,Date,Confirmed,Recovered,Deaths,geometry
18378,Diamond Princess,Canada,0.0,0.0,3/31/20,0,2.0,1,POINT (0 0)
18379,,Dominica,15.415,-61.371,3/31/20,12,0.0,0,POINT (-61.371 15.415)
18380,,Grenada,12.1165,-61.678999999999995,3/31/20,9,205.0,0,POINT (-61.67899999999999 12.1165)
18381,,Mozambique,-18.665695,35.529562,3/31/20,8,6415.0,0,POINT (35.529562 -18.665695)
18382,,Syria,34.802075,38.99681500000001,3/31/20,10,2.0,2,POINT (38.99681500000001 34.802075)
18383,,Timor-Leste,-8.874217,125.727539,3/31/20,1,50.0,0,POINT (125.727539 -8.874217)
18384,,Belize,13.1939,-59.5432,3/31/20,3,3.0,0,POINT (-59.5432 13.1939)
18385,Recovered,Canada,0.0,0.0,3/31/20,0,674.0,0,POINT (0 0)
18386,,Laos,19.856270000000002,102.495496,3/31/20,9,0.0,0,POINT (102.495496 19.85627)
18387,,Libya,26.3351,17.228331,3/31/20,10,17.0,0,POINT (17.228331 26.3351)
18388,,West Bank and Gaza,31.9522,35.2332,3/31/20,119,1.0,1,POINT (35.2332 31.9522)
18389,,Guinea-Bissau,11.8037,-15.1804,3/31/20,8,5.0,0,POINT (-15.1804 11.8037)
18390,,Mali,17.570692,-3.996166000000001,3/31/20,28,786.0,2,POINT (-3.996166000000001 17.570692)
18391,,Saint Kitts and Nevis,17.357822,-62.782998,3/31/20,8,0.0,0,POINT (-62.782998 17.357822)
18392,Northwest Territories,Canada,64.8255,-124.8457,3/31/20,1,25.0,0,POINT (-124.8457 64.82550000000001)
18393,Yukon,Canada,64.2823,-135.0,3/31/20,5,125.0,0,POINT (-135 64.28230000000001)
18394,,Kosovo,42.602636,20.902977,3/31/20,112,14.0,1,POINT (20.902977 42.602636)
18395,,Burma,21.9162,95.956,3/31/20,15,1.0,1,POINT (95.956 21.9162)
18396,Anguilla,United Kingdom,18.2206,-63.0686,3/31/20,2,13.0,0,POINT (-63.0686 18.2206)
18397,British Virgin Islands,United Kingdom,18.4207,-64.64,3/31/20,3,52.0,0,POINT (-64.64 18.4207)
18398,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,3/31/20,5,0.0,0,POINT (-71.7979 21.69400000000001)
18399,,MS Zaandam,0.0,0.0,3/31/20,2,0.0,0,POINT (0 0)
18400,,Botswana,-22.3285,24.6849,3/31/20,4,135.0,1,POINT (24.6849 -22.3285)
18401,,Burundi,-3.3731,29.9189,3/31/20,2,93.0,0,POINT (29.9189 -3.3731)
18402,,Sierra Leone,8.460555000000001,-11.779889,3/31/20,1,14652.0,0,POINT (-11.779889 8.460555000000001)
18403,"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,3/31/20,0,25.0,0,POINT (-68.2385 12.1784)
18404,,Malawi,-13.254307999999998,34.301525,3/31/20,0,52.0,0,POINT (34.301525 -13.254308)
18405,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,3/31/20,0,90.0,0,POINT (-59.5236 -51.7963)
